## 1.  01. 분수의 덧셈 (1)
  t0L1 l | ① 분모가 같은 분수를 더할 때 분모와 분자 중 무엇끼리 더할까?
  qrecall qrec | 정삼각형의 한 각이 몇 도인지, 어떻게 구하는지 말해 봐.
  qreason qrea | 정삼각형의 세 각이 모두 60도인 이유를 말해 봐.
  qexample qexa | 정삼각형의 한 변의 길이를 네가 정해서, 세 변의 길이의 합(둘레)이 얼마인지 말해 봐.
  qerror qerr | 친구가 정삼각형은 크기가 클수록 한 각도 더 커진다면서, 큰 정삼각형은 한 각이 90도쯤 될 거라고 했어. 어디가 틀렸을까?
## 2.  04. 각의 크기에 따라 삼각형 분류하기
  t0L1 l | ① 예각삼각형은 어떤 삼각형일까?
  t0L2 l | ② 직각삼각형과 둔각삼각형은 어떻게 다를까?
  t0H1 h | ① 세 각이 모두 예각이면 예각삼각형, 한 각이 직각/둔각이면 직각/둔각삼각형인 것을 설명해 봐.
  t0H2 h | ② 한 삼각형에 둔각이 두 개일 수 없는 이유를 말해 줘.
  qrecall qrec | 예각삼각형, 직각삼각형, 둔각삼각형은 각각 어떤 삼각형인지 말해 봐.
  qreason qrea | 왜 삼각형에 둔각이 하나만 있어도 그 삼각형 전체를 둔각삼각형이라고 부를까?
  qexample qexa | 세 각의 크기를 직접 정해서(합이 180도가 되게) 예각삼각형인지 둔각삼각형인지 직각삼각형인지 말해 봐.
  qerror qerr | 친구가 삼각형 세 각 중 하나가 40도로 예각이길래 다른 각은 안 보고 이건 예각삼각형이라고 했어. 그런데 다른 한 각은 110도였어. 뭐가 틀렸을까?
## 2.  05. 두 가지 기준으로 삼각형 분류하기
  t0L1 l | ① 삼각형을 변의 길이와 각의 크기, 두 가지로 나눌 수 있을까?
  t0L2 l | ② 한 삼각형이 이등변삼각형이면서 직각삼각형일 수도 있을까?
  t0H1 h | ① 같은 삼각형을 변 기준과 각 기준으로 동시에 분류하는 방법을 설명해 봐.
  t0H2 h | ② '이등변삼각형이면서 예각삼각형' 같은 삼각형이 가능한 이유를 말해 줘.
  qrecall qrec | 삼각형을 분류하는 두 가지 기준이 뭔지 말해 봐.
  qreason qrea | '이등변삼각형이면서 예각삼각형'처럼 삼각형 하나에 이름을 두 개 붙일 수 있는 이유는 뭘까?
  qexample qexa | 이등변삼각형이면서 동시에 둔각삼각형인 삼각형을 하나 떠올려서 세 각의 크기를 말해 봐.
  qcondition qcon | 정삼각형은 각 기준으로 보면 항상 어떤 삼각형일까? 왜 그럴까?
  qerror qerr | 친구가 이 삼각형은 이등변삼각형이니까 예각삼각형이라고는 부를 수 없다고 했어. 뭐가 틀렸을까?
## 3.  01. 소수 두 자리 수
  t0L1 l | ① 분수 1/100을 소수로 어떻게 쓸까?
  t0L2 l | ② 0.01은 어떻게 읽을까?
  t0L3 l | ③ 1.27에서 각 자리 숫자는 얼마를 나타낼까?
  t0H1 h | ① 분수 1/100과 소수 0.01이 같은 수인 이유를 설명해 봐.
  t0H2 h | ② 1.27을 1+0.2+0.07로 나타낼 수 있는 이유를 말해 줘.
  qrecall qrec | 1.27에서 소수 둘째 자리 숫자 7이 얼마를 나타내는지 말해 봐.
  qreason qrea | 분수 1/100과 소수 0.01이 같은 수인 이유를 말해 봐.
  qexample qexa | 소수 둘째 자리까지 있는 소수를 하나 만들어서, 각 자리 숫자가 얼마를 나타내는지 말해 봐.
  qcondition qcon | 0.1과 0.01 중 어느 게 더 클까? 왜 그럴까?
  qerror qerr | 친구가 1.27을 읽으면서 소수 둘째 자리 숫자 7이 0.7을 나타낸다고 했어. 어디가 틀렸을까?
## 3.  02. 소수 세 자리 수
  t0L1 l | ① 분수 1/1000을 소수로 어떻게 쓸까?
  t0L2 l | ② 4.219에서 소수 셋째 자리 숫자는 무엇을 나타낼까?
  t0H1 h | ① 소수 셋째 자리가 0.001을 나타내는 이유를 설명해 봐.
  t0H2 h | ② 같은 숫자라도 자리에 따라 나타내는 수가 다른 것을 말해 줘.
  qrecall qrec | 4.219에서 소수 셋째 자리 숫자 9가 얼마를 나타내는지 말해 봐.
  qreason qrea | 소수 셋째 자리가 0.001을 나타내는 이유를 말해 봐.
  qexample qexa | 소수 셋째 자리까지 있는 소수를 하나 만들어서 소수 셋째 자리 숫자가 얼마를 나타내는지 말해 봐.
  qerror qerr | 친구가 4.219에서 소수 셋째 자리 숫자 9가 0.09를 나타낸다고 했어. 어디가 틀렸을까?
## 3.  03. 소수의 크기 비교
  t0L1 l | ① 두 소수의 크기는 어느 자리부터 비교할까?
  t0L2 l | ② 0.3과 0.30은 크기가 같을까?
  t0H1 h | ① 소수의 크기를 높은 자리부터 차례로 비교하는 방법을 설명해 봐.
  t0H2 h | ② 자리 수가 달라도(0.3과 0.42) 크기를 비교할 수 있는 이유를 말해 줘.
  qrecall qrec | 두 소수의 크기를 비교할 때 어느 자리부터 비교하는지 말해 봐.
  qreason qrea | 0.3과 0.30의 크기가 같은 이유를 말해 봐.
  qexample qexa | 소수점 아래 자리 수가 서로 다른 두 소수를 만들어서(예: 0.5와 0.48) 어느 것이 더 큰지 말해 봐.
  qerror qerr | 친구가 0.9와 0.42를 비교하는데, 0.42가 숫자를 두 개 갖고 있으니까 0.42가 더 크다고 했어. 뭐가 틀렸을까?
## 3.  04. 소수 사이의 관계
  t0L1 l | ① 0.4는 0.04의 몇 배일까?
  t0L2 l | ② 어떤 소수를 10배 하면 소수점이 어느 쪽으로 움직일까?
  t0H1 h | ① 소수를 10배 하면 소수점을 기준으로 수가 한 자리씩 왼쪽으로 이동하는 것을 설명해 봐.
  t0H2 h | ② 1/10을 하면 소수점이 오른쪽으로 이동하는 이유를 말해 줘.
  qrecall qrec | 소수를 10배 하면 소수점이 어느 쪽으로 몇 자리 이동하는지 말해 봐.
  qreason qrea | 0.4가 0.04의 10배인 이유를 말해 봐.
  qexample qexa | 소수를 하나 정해서 그 수를 10배 한 값과 1/10 한 값을 각각 말해 봐.
  qerror qerr | 친구가 0.04를 10배 하면 소수점이 왼쪽으로 이동해서 0.004가 된다고 했어. 뭐가 틀렸을까?
## 3.  05. 소수 한 자리 수의 덧셈
  t0L1 l | ① 소수의 덧셈에서 무엇을 맞춰서 계산할까?
  t0L2 l | ② 3.5+2.4를 0.1이 몇 개인지로 계산할 수 있을까?
  t0H1 h | ① 소수의 덧셈을 자연수 덧셈처럼 계산하고 소수점을 그대로 내려 찍는 이유를 설명해 봐.
  t0H2 h | ② 소수점의 위치를 맞춰서 계산해야 하는 이유를 말해 줘.
  qrecall qrec | 소수의 덧셈을 계산하는 순서를 말해 봐.
  qreason qrea | 소수의 덧셈에서 왜 소수점의 자리를 맞춰서 써야 할까?
  qexample qexa | 소수 한 자리 수 두 개를 정해서 더한 값을 말해 봐.
  qerror qerr | 친구가 3.5+2.4를 계산하는데 소수점을 무시하고 35+24=59로 계산한 다음 그대로 59라고 답했어. 뭐가 틀렸을까?
## 3.  06. 소수 두 자리 수의 덧셈
  t0L1 l | ① 소수 두 자리 수를 더할 때도 소수점을 맞출까?
  t0L2 l | ② 소수 둘째 자리끼리 더한 값이 10이 넘으면 어떻게 할까?
  t0H1 h | ① 소수 두 자리 수의 덧셈에서 받아올림이 생길 때 처리하는 방법을 설명해 봐.
  t0H2 h | ② 소수 한 자리 덧셈과 방법이 같은 점을 말해 줘.
  qrecall qrec | 소수 두 자리 수를 더할 때 소수 둘째 자리 합이 10이 넘으면 어떻게 하는지 말해 봐.
  qreason qrea | 소수 두 자리 수 덧셈의 받아올림 방법이 자연수 덧셈과 같은 이유를 말해 봐.
  qexample qexa | 소수 둘째 자리끼리 더하면 10이 넘는 소수 두 자리 수 덧셈식을 하나 만들어서 계산해 봐.
  qerror qerr | 친구가 1.36+2.47을 계산하는데 소수 둘째 자리 6+7=13이 나왔는데 받아올림을 안 하고 그대로 1.313이라고 답했어. 뭐가 틀렸을까?
## 3.  07. 소수 한 자리 수의 뺄셈
  t0L1 l | ① 소수의 뺄셈에서도 소수점을 맞출까?
  t0L2 l | ② 소수의 뺄셈을 0.1의 개수로 생각할 수 있을까?
  t0H1 h | ① 소수의 뺄셈을 자연수 뺄셈처럼 계산하고 소수점을 내려 찍는 이유를 설명해 봐.
  t0H2 h | ② 소수의 뺄셈이 덧셈과 방법이 비슷한 점을 말해 줘.
  qrecall qrec | 소수의 뺄셈을 계산하는 순서를 말해 봐.
  qreason qrea | 소수의 뺄셈에서 소수점을 안 맞추고 계산하면 왜 답이 틀릴까?
  qexample qexa | 소수 한 자리 수 두 개를 정해서 뺀 값을 말해 봐.
  qcondition qcon | 소수의 뺄셈에서 소수 첫째 자리끼리 뺄 수 없을 때는 어떻게 해야 할까?
  qerror qerr | 친구가 5.2-1.7을 계산하는데 소수 첫째 자리 2에서 7을 뺄 수 없으니까 거꾸로 7에서 2를 빼서 5로 답하고, 자연수는 5-1=4로 계산해서 4.5라고 했어. 뭐가 틀렸을까?
## 3.  08. 소수 두 자리 수의 뺄셈
  t0L1 l | ① 소수 두 자리 수를 뺄 때 소수 자리끼리 뺄 수 없으면 어떻게 할까?
  t0L2 l | ② 윗자리에서 받아내려 계산할 수 있을까?
  t0H1 h | ① 소수 두 자리 수의 뺄셈에서 받아내림이 생길 때 처리하는 과정을 설명해 봐.
  t0H2 h | ② 소수의 뺄셈이 세 자리 수 뺄셈의 받아내림과 비슷한 점을 말해 줘.
  qrecall qrec | 소수 두 자리 수를 뺄 때 소수 자리끼리 뺄 수 없으면 어떻게 하는지 말해 봐.
  qreason qrea | 소수의 뺄셈 받아내림이 세 자리 수 뺄셈의 받아내림과 비슷한 점을 말해 봐.
  qexample qexa | 소수 둘째 자리끼리 뺄 수 없는 소수 두 자리 수 뺄셈식을 하나 만들어서 계산해 봐.
  qcondition qcon | 소수 첫째 자리에서도 못 빼면(그 자리도 부족하면) 어떻게 해야 할까?
  qerror qerr | 친구가 3.52-1.68을 계산하는데 소수 둘째 자리 2에서 8을 뺄 수 없으니까 거꾸로 8에서 2를 빼서 6이라고 하고, 나머지 자리는 그대로 빼서 2.46이라고 답했어. 뭐가 틀렸을까?
## 4.  01. 수직과 수선
  t0L1 l | ① 두 직선이 만나서 이루는 각이 어떤 각일 때 서로 수직이라고 할까?
  t0L2 l | ② 수선은 무엇일까?
  t0H1 h | ① 두 직선이 만나 이루는 각이 직각일 때 수직이라고 하는 것을 설명해 봐.
  t0H2 h | ② 삼각자나 각도기로 수선을 긋는 방법을 말해 줘.
  qrecall qrec | 두 직선이 서로 수직이라는 게 무슨 뜻인지 말해 봐.
  qreason qrea | 두 직선이 89도로 만날 때와 90도로 만날 때, 눈으로는 비슷한데 무엇이 다를까?
  qexample qexa | 두 직선이 수직으로 만나는 예를 하나 말해 봐. 어디서 그런 모습을 볼 수 있어?
  qcondition qcon | 두 직선이 수직인지 확인하려면 뭘로 재봐야 할까?
  qerror qerr | 친구가 두 직선이 비스듬히 만나는 걸 보고 '수직이다'라고 했어. 뭐가 틀렸을까?
## 4.  02. 평행과 평행선
  t0L1 l | ① 서로 만나지 않는 두 직선을 무엇이라고 할까?
  t0L2 l | ② 평행한 두 직선을 무엇이라고 부를까?
  t0H1 h | ① 한 직선에 수직인 두 직선이 서로 평행한 이유를 설명해 봐.
  t0H2 h | ② 아무리 길게 늘여도 만나지 않는 것이 평행의 뜻이라는 걸 말해 줘.
  qrecall qrec | 평행선이 뭔지 말해 봐.
  qreason qrea | 한 직선에 대해 똑같이 수직으로 그은 두 직선은 왜 아무리 늘여도 안 만날까?
  qexample qexa | 우리 주변에서 평행선을 이루는 걸 하나 말해 봐.
  qerror qerr | 친구가 두 선분의 길이가 다르니까 평행이 아니라고 했어. 뭐가 틀렸을까?
## 4.  03. 평행선 사이의 거리
  t0L1 l | ① 평행선 사이의 거리는 어떤 선분의 길이로 잴까?
  t0L2 l | ② 두 평행선 사이의 거리는 어디를 재도 같을까?
  t0H1 h | ① 평행선 사이의 거리를 '수직인 선분의 길이'로 재는 이유를 설명해 봐.
  t0H2 h | ② 두 평행선 사이의 거리가 항상 같은 이유를 말해 줘.
  qrecall qrec | 평행선 사이의 거리는 어떻게 재는지 말해 봐.
  qreason qrea | 왜 비스듬한 선이 아니라 수직인 선분으로 재야 할까?
  qexample qexa | 두 평행선을 하나 떠올려서, 그 사이의 거리를 어디서 재면 될지 말해 봐.
  qcondition qcon | 평행선 사이의 거리는 재는 위치에 따라 달라질까?
  qerror qerr | 친구가 두 평행선을 비스듬하게 이은 선분의 길이를 재서 평행선 사이의 거리라고 했어. 뭐가 틀렸을까?
## 4.  04. 사다리꼴
  t0L1 l | ① 사다리꼴은 어떤 사각형일까?
  t0L2 l | ② 평행한 변이 한 쌍만 있어도 사다리꼴일까?
  t0H1 h | ① 사다리꼴이 '평행한 변이 있는 사각형'이라는 걸 설명해 봐.
  t0H2 h | ② 마주 보는 두 쌍의 변이 평행한 사각형도 사다리꼴이라고 할 수 있는 이유를 말해 줘.
  qrecall qrec | 사다리꼴이 어떤 사각형인지 말해 봐.
  qreason qrea | 평행한 변이 두 쌍이나 있는 사각형도 왜 사다리꼴이라고 할 수 있을까?
  qexample qexa | 사다리꼴을 하나 떠올려서, 어느 변끼리 평행한지 말해 봐.
  qcondition qcon | 사다리꼴이려면 네 변의 길이가 다 달라야 할까?
  qerror qerr | 친구가 평행사변형은 평행한 변이 두 쌍이라서 사다리꼴이 아니라고 했어. 뭐가 틀렸을까?
## 4.  05. 평행사변형
  t0L1 l | ① 평행사변형은 어떤 사각형일까?
  t0L2 l | ② 평행사변형에서 마주 보는 변의 길이는 어떨까?
  t0H1 h | ① 평행사변형이 '마주 보는 두 쌍의 변이 서로 평행한 사각형'이라는 걸 설명해 봐.
  t0H2 h | ② 평행사변형에서 마주 보는 각의 크기가 같고, 이웃한 두 각의 합이 180도인 것을 말해 줘.
  qrecall qrec | 평행사변형이 어떤 사각형인지 말해 봐.
  qreason qrea | 평행사변형을 대각선으로 잘라 두 조각을 겹쳐 보면 어떻게 될까? 그걸로 마주 보는 변에 대해 뭘 알 수 있어?
  qexample qexa | 평행사변형을 하나 떠올려서 마주 보는 변의 길이를 두 쌍 말해 봐.
  qcondition qcon | 평행사변형이려면 네 변의 길이가 모두 같아야 할까?
  qerror qerr | 친구가 평행사변형은 사다리꼴이 아니라고 했어. 뭐가 틀렸을까?
## 4.  06. 마름모
  t0L1 l | ① 마름모는 어떤 사각형일까?
  t0L2 l | ② 네 변의 길이가 같으면 네 각도 항상 직각일까?
  t0H1 h | ① 마름모가 '네 변의 길이가 모두 같은 사각형'이라는 걸 설명해 봐.
  t0H2 h | ② 마름모의 두 대각선이 서로 수직으로 만나고 서로를 똑같이 둘로 나누는 성질을 말해 줘.
  qrecall qrec | 마름모가 어떤 사각형인지 말해 봐.
  qreason qrea | 네 변의 길이가 모두 같은데 왜 마름모가 정사각형이 아닐 수도 있을까?
  qexample qexa | 마름모를 하나 떠올려서 네 변의 길이와, 각이 직각인지 아닌지 말해 봐.
  qcondition qcon | 마름모의 두 대각선은 길이도 서로 같을까?
  qerror qerr | 친구가 네 변의 길이가 같은 사각형을 보고 정사각형이라고 했어. 뭐가 틀렸을까?
## 4.  07. 여러 가지 사각형
  t0L1 l | ① 정사각형은 직사각형이라고 할 수 있을까?
  t0L2 l | ② 정사각형은 마름모라고 할 수 있을까?
  t0H1 h | ① 정사각형이 직사각형이면서 마름모이기도 한 이유를 설명해 봐.
  t0H2 h | ② 사다리꼴, 평행사변형, 마름모, 직사각형, 정사각형의 포함 관계를 말해 줘.
  qrecall qrec | 직사각형, 마름모, 정사각형이 각각 어떤 사각형인지 말해 봐.
  qreason qrea | “모든 정사각형은 직사각형이다”와 “모든 직사각형은 정사각형이다” 중 어느 말이 맞을까? 맞지 않는 말은 그렇지 않은 예도 들어 봐.
  qexample qexa | 직사각형이지만 정사각형은 아닌 사각형을 하나 떠올려서 가로 세로 길이를 말해 봐.
  qcondition qcon | 마름모이면서 직사각형이기도 한 사각형이 있을까? 있다면 어떤 도형일까?
  qerror qerr | 친구가 정사각형은 특별한 도형이라 직사각형이나 마름모에 포함되지 않는다고 했어. 뭐가 틀렸을까?
## 5.  01. 꺾은선그래프 알아보기
  t0L1 l | ① 꺾은선그래프는 자료를 무엇으로 이어 나타낼까?
  t0L2 l | ② 꺾은선그래프에서 가로와 세로는 각각 무엇을 나타낼까?
  t0H1 h | ① 꺾은선그래프가 '연속적으로 변하는 양을 점으로 찍고 선분으로 이은 그래프'라는 걸 설명해 봐.
  t0H2 h | ② 막대그래프와 꺾은선그래프가 각각 어떤 것을 나타내기에 좋은지 비교해서 말해 줘.
  qrecall qrec | 꺾은선그래프가 뭔지 말해 봐.
  qreason qrea | 시간에 따라 변하는 자료를 나타낼 때 왜 막대그래프보다 꺾은선그래프가 좋을까?
  qexample qexa | 꺾은선그래프로 나타내면 좋을 자료를 하나 말해 봐.
  qcondition qcon | 점만 찍은 것과 점을 선분으로 이은 것은 알 수 있는 게 어떻게 달라질까?
  qerror qerr | 친구가 좋아하는 색깔별 학생 수를 조사해서 꺾은선그래프로 그렸어. 뭐가 틀렸을까?
## 5.  02. 꺾은선그래프의 내용 알아보기
  t0L1 l | ① 필요 없는 부분을 생략할 때 무엇을 사용할까?
  t0L2 l | ② 꺾은선이 많이 기울어질수록 무엇을 뜻할까?
  t0H1 h | ① 물결선을 사용해 필요 없는 부분을 생략하면 변화가 더 잘 보이는 이유를 설명해 봐.
  t0H2 h | ② 그래프에 나타나지 않은 중간 값을 예상하는 방법을 말해 줘.
  qrecall qrec | 그래프에서 물결선을 왜 쓰는지 말해 봐.
  qreason qrea | 물결선을 쓰면 왜 변화하는 모습이 더 잘 보일까?
  qexample qexa | 물결선을 쓰면 좋을 상황을 하나 말해 봐. 어떤 자료일 때 그럴까?
  qcondition qcon | 물결선을 쓰면 자료의 실제 값이 줄어드는 걸까?
  qerror qerr | 친구가 꺾은선이 위쪽에 있는 부분을 보고 '여기가 변화가 가장 크다'고 했어. 뭐가 틀렸을까?
## 5.  03. 꺾은선그래프로 나타내기
  t0L1 l | ① 꺾은선그래프를 그릴 때 가로와 세로에 무엇을 정할까?
  t0L2 l | ② 점을 찍은 뒤에는 어떻게 이을까?
  t0H1 h | ① 꺾은선그래프를 그리는 순서(가로세로 정하기→눈금 정하기→점 찍기→선분으로 잇기→제목)를 설명해 봐.
  t0H2 h | ② 자료 값이 크면 물결선으로 아래 부분을 생략하면 좋은 이유를 말해 줘.
  qrecall qrec | 꺾은선그래프를 그리는 순서를 말해 봐.
  qreason qrea | 점을 찍기 전에 왜 눈금 한 칸의 크기부터 정해야 할까?
  qexample qexa | 일주일 동안 매일 잰 키를 꺾은선그래프로 그린다면, 가로와 세로에 각각 무엇을 나타낼지 말해 봐.
  qerror qerr | 친구가 요일별 점을 순서 없이 아무렇게나 선으로 이었어. 뭐가 틀렸을까?
## 5.  04. 꺾은선그래프 해석하기
  t0L1 l | ① 꺾은선그래프에서 값이 가장 많이 변한 곳을 어떻게 찾을까?
  t0L2 l | ② 그래프가 올라가면 값이 늘어난 걸까, 줄어든 걸까?
  t0H1 h | ① 꺾은선의 기울어진 정도로 변화가 크고 작음을 읽는 방법을 설명해 봐.
  t0H2 h | ② 꺾은선그래프를 보고 앞으로의 변화를 예상하는 방법을 말해 줘.
  qrecall qrec | 꺾은선그래프에서 변화가 가장 큰 곳을 어떻게 찾는지 말해 봐.
  qreason qrea | 왜 선이 기울어진 정도로 변화의 크기를 알 수 있을까?
  qexample qexa | 꺾은선그래프에서 값이 계속 올라가다가 갑자기 내려가는 상황을 하나 예로 들어서, 그때 무슨 일이 있었을지 말해 봐.
  qcondition qcon | 선이 평평하게(수평으로) 이어지면 값이 0이라는 뜻일까?
  qerror qerr | 친구가 선이 오른쪽 아래로 내려가는 걸 보고 값이 늘어났다고 했어. 뭐가 틀렸을까?
## 6.  01. 다각형
  t0L1 l | ① 다각형은 무엇으로만 둘러싸인 도형일까?
  t0L2 l | ② 다각형의 이름은 무엇에 따라 정해질까?
  t0L3 l | ③ 변이 6개인 다각형은 무엇이라고 할까?
